Date,Year,Month,Day,Mean Temp (°C),Min Temp (°C),Max Temp (°C),Total Precip (mm),Spd of Max Gust (km/h),Pressure
01/01/2020,2020,1,1,27.7,22.1,34.7,,,
02/01/2020,2020,1,2,26.4,21,34.5,,,
03/01/2020,2020,1,3,25.1,19.7,31.6,,,
04/01/2020,2020,1,4,24.4,19.6,31.2,,,
05/01/2020,2020,1,5,25.4,21,31.2,,,
06/01/2020,2020,1,6,26.8,21,33.2,,,
07/01/2020,2020,1,7,27.3,21.9,33,,,
08/01/2020,2020,1,8,,,,,,
09/01/2020,2020,1,9,,,,,,
10/01/2020,2020,1,10,29.1,,32.3,,,
11/01/2020,2020,1,11,,,,,,
12/01/2020,2020,1,12,,,,,,
13/01/2020,2020,1,13,,,,,,
14/01/2020,2020,1,14,,,,,,
15/01/2020,2020,1,15,28.8,25.4,33,,,
16/01/2020,2020,1,16,29,,32.2,,,
17/01/2020,2020,1,17,29.1,26.4,33,,,
18/01/2020,2020,1,18,,,,,,
19/01/2020,2020,1,19,28.7,25.7,34,,,
20/01/2020,2020,1,20,28.3,24.2,34.1,,,
21/01/2020,2020,1,21,28.7,24.2,34.9,,,
22/01/2020,2020,1,22,,,,,,
23/01/2020,2020,1,23,29.1,26,33.4,,,
24/01/2020,2020,1,24,28.3,,33.5,,,
25/01/2020,2020,1,25,27.2,21,34.1,,,
26/01/2020,2020,1,26,26.4,20.3,34.9,,,
27/01/2020,2020,1,27,26.3,19.7,33.3,,,
28/01/2020,2020,1,28,26.9,21.1,32,,,
29/01/2020,2020,1,29,,,,,,
30/01/2020,2020,1,30,28.3,24.4,32.3,,,
31/01/2020,2020,1,31,28.7,,32.6,,,
01/02/2020,2020,2,1,28.9,24.7,33.3,,,
02/02/2020,2020,2,2,,,,,,
03/02/2020,2020,2,3,28.1,23.2,33.9,,,
04/02/2020,2020,2,4,27.4,22.6,32.3,,,
05/02/2020,2020,2,5,28.6,24.7,32,,,
06/02/2020,2020,2,6,,,,,,
07/02/2020,2020,2,7,,,,,,
08/02/2020,2020,2,8,28.3,21.5,35,,,
09/02/2020,2020,2,9,28.3,23.9,32.2,,,
10/02/2020,2020,2,10,28.8,26.8,33.5,,,
11/02/2020,2020,2,11,,,,,,
12/02/2020,2020,2,12,,,,,,
13/02/2020,2020,2,13,28.5,23.5,35.2,,,
14/02/2020,2020,2,14,28.3,23.3,36,,,
