Date,Year,Month,Day,Mean Temp (°C),Min Temp (°C),Max Temp (°C),Total Precip (mm),Spd of Max Gust (km/h),Pressure
01/01/2020,2020,1,1,27.7,22.1,34.7,0,0,0
01/02/2020,2020,1,2,26.4,21,34.5,0,0,0
01/03/2020,2020,1,3,25.1,19.7,31.6,0,0,0
01/04/2020,2020,1,4,24.4,19.6,31.2,0,0,0
01/05/2020,2020,1,5,25.4,21,31.2,0,0,0
01/06/2020,2020,1,6,26.8,21,33.2,0,0,0
01/07/2020,2020,1,7,27.3,21.9,33,0,0,0
01/08/2020,2020,1,8,27.05,21.450000000000003,33.10000000000001,0,0,0
01/09/2020,2020,1,9,27.3,21.9,33,0,0,0
01/10/2020,2020,1,10,29.1,25.2,32.3,0,0,0
01/11/2020,2020,1,11,29.1,25.2,32.3,0,0,0
01/12/2020,2020,1,12,29.1,25.2,32.3,0,0,0
13/01/2020,2020,1,13,28.2,25.2,31.3,0,0,0
14/01/2020,2020,1,14,28.2,25.2,31.3,0,0,0
15/01/2020,2020,1,15,28.8,25.4,33,0,0,0
16/01/2020,2020,1,16,29,25.4,32.2,0,0,0
17/01/2020,2020,1,17,29.1,26.4,33,0,0,0
18/01/2020,2020,1,18,29.050000000000004,26.4,32.6,0,0,0
19/01/2020,2020,1,19,28.7,25.7,34,0,0,0
20/01/2020,2020,1,20,28.3,24.2,34.1,0,0,0
21/01/2020,2020,1,21,28.7,24.2,34.9,0,0,0
22/01/2020,2020,1,22,28.5,24.2,34.5,0,0,0
23/01/2020,2020,1,23,29.1,26,33.4,0,0,0
24/01/2020,2020,1,24,28.3,26,33.5,0,0,0
25/01/2020,2020,1,25,27.2,21,34.1,0,0,0
26/01/2020,2020,1,26,26.4,20.3,34.9,0,0,0
27/01/2020,2020,1,27,26.3,19.7,33.3,0,0,0
28/01/2020,2020,1,28,26.9,21.1,32,0,0,0
29/01/2020,2020,1,29,26.6,20.4,32.64999999999999,0,0,0
30/01/2020,2020,1,30,28.3,24.4,32.3,0,0,0
31/01/2020,2020,1,31,28.7,24.4,32.6,0,0,0
02/01/2020,2020,2,1,28.9,24.7,33.3,0,0,0
02/02/2020,2020,2,2,28.800000000000004,24.7,32.95,0,0,0
02/03/2020,2020,2,3,28.1,23.2,33.9,0,0,0
