Date,Year,Month,Day,Mean Temp (°C),Min Temp (°C),Max Temp (°C),Total Precip (mm),Spd of Max Gust (km/h),Pressure
01/01/2020,2020,1,1,25.1,18.8,32.2,1,0,0
01/02/2020,2020,1,2,21.9,16.2,28,0.25,0,0
01/03/2020,2020,1,3,20.3,13.6,27.5,1.5,0,0
01/04/2020,2020,1,4,21.7,15.4,29.4,0.3,0,0
01/05/2020,2020,1,5,24.4,17.2,33.1,0,0,0
01/06/2020,2020,1,6,25.2,16.5,33,3,0,0
01/07/2020,2020,1,7,26.8,20.5,34.5,3,0,0
01/08/2020,2020,1,8,27.9,21.8,35.4,2,0,0
01/09/2020,2020,1,9,28.4,21.6,36.3,3,0,0
01/10/2020,2020,1,10,28.2,21.3,35.5,0.4,0,0
01/11/2020,2020,1,11,27.6,22.5,34.1,0.5,0,0
01/12/2020,2020,1,12,29.9,22.9,35.5,0,0,0
13/01/2020,2020,1,13,29.6,23.3,36.6,1,0,0
14/01/2020,2020,1,14,27.6,21,35.5,1,0,0
15/01/2020,2020,1,15,29,21.8,36.2,1,0,0
16/01/2020,2020,1,16,28.2,22.2,35.7,1,0,0
17/01/2020,2020,1,17,27.4,20.8,35.7,1,0,0
18/01/2020,2020,1,18,26.6,19,36,1,0,0
19/01/2020,2020,1,19,25.5,19.6,32.6,1,0,0
20/01/2020,2020,1,20,26.1,18.2,34,1,0,0
21/01/2020,2020,1,21,28.4,20.3,35.7,1,0,0
22/01/2020,2020,1,22,29.2,23.8,35.9,1,0,0
23/01/2020,2020,1,23,28.4,22,35.6,1,0,0
24/01/2020,2020,1,24,27.6,20.8,35.5,1,0,0
25/01/2020,2020,1,25,26.6,20.1,34.5,1,0,0
26/01/2020,2020,1,26,26.5,18.3,35.1,1,0,0
27/01/2020,2020,1,27,27.2,19.1,35.6,1,0,0
28/01/2020,2020,1,28,26.8,19.8,34.5,1,0,0
29/01/2020,2020,1,29,28.6,23.4,36.5,1,0,0
30/01/2020,2020,1,30,28.7,20.7,36.1,1,0,0
31/01/2020,2020,1,31,28.6,20.5,35.9,1,0,0
02/01/2020,2020,2,1,27.9,20.8,35,1,0,0
02/02/2020,2020,2,2,27,19.9,34.8,0.25,0,0
02/03/2020,2020,2,3,27.2,20.5,35.2,1.5,0,0
02/04/2020,2020,2,4,27.8,20.6,35.3,0.3,0,0
02/05/2020,2020,2,5,27.3,20.4,34.3,0,0,0
02/06/2020,2020,2,6,27.7,21.6,35,3,0,0
02/07/2020,2020,2,7,28.1,21.3,35.5,3,0,0
02/08/2020,2020,2,8,28.7,22.4,36,2,0,0
02/09/2020,2020,2,9,29.4,22.1,36.3,3,0,0
02/10/2020,2020,2,10,27.8,22.9,34,0.4,0,0
02/11/2020,2020,2,11,27.7,22.5,34,0.5,0,0
02/12/2020,2020,2,12,27.4,20.8,34.2,0,0,0
13/02/2020,2020,2,13,27.4,20.9,35.4,0.25,0,0
14/02/2020,2020,2,14,28.1,21.2,36.2,0.25,0,0
