Date,Year,Month,Day,Mean Temp (°C),Min Temp (°C),Max Temp (°C),Total Precip (mm),Spd of Max Gust (km/h),Pressure
01/01/2020,2020,1,1,27.5,25,31.5,0.5,33.3,1006.4
02/01/2020,2020,1,2,27,23.9,30.1,0,25.9,1011.7
03/01/2020,2020,1,3,25.8,25,27.8,4.1,25.9,1014.7
04/01/2020,2020,1,4,25.5,24,29.2,6.1,29.6,1012.8
05/01/2020,2020,1,5,24.7,22.9,27.7,39.1,24.1,1011.1
06/01/2020,2020,1,6,26.7,23,31.5,113,33.3,1010.9
07/01/2020,2020,1,7,27.5,24.3,30.5,4.1,22.2,1012
08/01/2020,2020,1,8,26.8,25,29.5,0.5,22.2,1012.4
09/01/2020,2020,1,9,26.3,23.8,29.6,0,29.6,1012.6
10/01/2020,2020,1,10,25.8,23,29.2,0,29.6,1012.7
11/01/2020,2020,1,11,25.9,21.6,29.7,,27.8,1012.5
12/01/2020,2020,1,12,27.8,24.9,30.4,1,31.5,1012.5
13/01/2020,2020,1,13,27.2,23.6,30.3,8.9,31.5,1012.7
14/01/2020,2020,1,14,28.2,25.9,31.5,0,33.3,1013.5
15/01/2020,2020,1,15,27.8,26,30.6,0.5,35.2,1014.9
16/01/2020,2020,1,16,27.2,25.6,30,,37,1014.3
17/01/2020,2020,1,17,27.9,24.5,30.7,3,35.2,1013.1
18/01/2020,2020,1,18,28.1,25.2,31.4,0,35.2,1011.8
19/01/2020,2020,1,19,28.3,25.8,32.1,0,31.5,1010.4
20/01/2020,2020,1,20,28.7,26,33,,29.6,1008.2
21/01/2020,2020,1,21,26.5,25.5,29,0,25.9,1005.8
22/01/2020,2020,1,22,25.7,24.5,28,,25.9,1004.5
23/01/2020,2020,1,23,28.4,24.6,34,22.1,33.3,1005
24/01/2020,2020,1,24,27,25,30,,27.8,1006.4
25/01/2020,2020,1,25,26.1,24.9,28.4,16,55.5,1005.9
26/01/2020,2020,1,26,26,24.8,29,,38.9,1011.8
27/01/2020,2020,1,27,25.1,23.8,27,3,33.3,1012.4
28/01/2020,2020,1,28,24.6,20.2,28.4,0,25.9,1011.2
29/01/2020,2020,1,29,25.1,19.9,29,0.3,25.9,1013.2
30/01/2020,2020,1,30,26.2,22,29.8,2,27.8,1014.8
31/01/2020,2020,1,31,26.2,22.6,29.5,11.9,29.6,1014.5
01/02/2020,2020,2,1,27.3,24,29.8,2,33.3,1015.2
02/02/2020,2020,2,2,27.1,25,30.2,1,35.2,1016
03/02/2020,2020,2,3,27.7,26,31,,42.6,1014.9
04/02/2020,2020,2,4,26.2,24.5,28.5,2,38.9,1013.3
05/02/2020,2020,2,5,27.4,25.7,30,,37,1012.5
06/02/2020,2020,2,6,27.5,24.2,30.1,21.1,37,1013.7
07/02/2020,2020,2,7,26.8,25,30,0,35.2,1015
08/02/2020,2020,2,8,26.9,24,29.7,3,33.3,1014.3
09/02/2020,2020,2,9,26.6,23.9,29.5,0.5,37,1013.1
10/02/2020,2020,2,10,26.1,23.4,29.1,0.5,40.8,1009.6
11/02/2020,2020,2,11,27.1,23.7,29.6,14,40.8,1005.9
12/02/2020,2020,2,12,27.6,24.8,30.7,20.1,44.5,1009.8
13/02/2020,2020,2,13,27.7,25.8,31,0.5,37,1013.8
14/02/2020,2020,2,14,27.1,23.3,30.7,0,31.5,1014
15/02/2020,2020,2,15,27.4,24.8,30.7,,37,1013.6
16/02/2020,2020,2,16,27.1,26,30,0,33.3,1014.6
17/02/2020,2020,2,17,26.3,23.9,29.7,0.3,31.5,1015
18/02/2020,2020,2,18,27,23.5,29.8,13,29.6,1014.4
19/02/2020,2020,2,19,26.9,25,29.9,0,29.6,1013.5
20/02/2020,2020,2,20,26.9,24.1,29.8,0,31.5,1012.4
21/02/2020,2020,2,21,27,25,30,,31.5,1013.6
22/02/2020,2020,2,22,26.7,23.5,30,,27.8,1013.8
23/02/2020,2020,2,23,26.3,24,30.1,3,25.9,1012.2
24/02/2020,2020,2,24,26.1,21.7,30.1,7.1,24.1,1009.9
25/02/2020,2020,2,25,27.6,22.9,31.9,0,25.9,1009.1
26/02/2020,2020,2,26,26.4,23.5,29.2,38.1,31.5,1011.4
27/02/2020,2020,2,27,25.8,23.8,27.4,54.1,31.5,1012
28/02/2020,2020,2,28,25.9,23.7,30,24.9,33.3,1010.2
29/02/2020,2020,2,29,26.6,24,30.2,7.1,31.5,1007.7
