Date,Year,Month,Day,Mean Temp (°C),Min Temp (°C),Max Temp (°C),Total Precip (mm),Spd of Max Gust (km/h)
01/01/2020,2020,1,1,27.5,25,31.5,0.5,33.3
01/02/2020,2020,1,2,27,23.9,30.1,0,25.9
01/03/2020,2020,1,3,25.8,25,27.8,4.1,25.9
01/04/2020,2020,1,4,25.5,24,29.2,6.1,29.6
01/05/2020,2020,1,5,24.7,22.9,27.7,39.1,24.1
01/06/2020,2020,1,6,26.7,23,31.5,113,33.3
01/07/2020,2020,1,7,27.5,24.3,30.5,4.1,22.2
01/08/2020,2020,1,8,26.8,25,29.5,0.5,22.2
01/09/2020,2020,1,9,26.3,23.8,29.6,0,29.6
01/10/2020,2020,1,10,25.8,23,29.2,0,29.6
01/11/2020,2020,1,11,25.9,21.6,29.7,0,27.8
01/12/2020,2020,1,12,27.8,24.9,30.4,1,31.5
13/01/2020,2020,1,13,27.2,23.6,30.3,8.9,31.5
14/01/2020,2020,1,14,28.2,25.9,31.5,0,33.3
15/01/2020,2020,1,15,27.8,26,30.6,0.5,35.2
16/01/2020,2020,1,16,27.2,25.6,30,0.2499999999999929,37
17/01/2020,2020,1,17,27.9,24.5,30.7,3,35.2
18/01/2020,2020,1,18,28.1,25.2,31.4,0,35.2
19/01/2020,2020,1,19,28.3,25.8,32.1,0,31.5
20/01/2020,2020,1,20,28.7,26,33,0,29.6
21/01/2020,2020,1,21,26.5,25.5,29,0,25.9
22/01/2020,2020,1,22,25.7,24.5,28,0,25.9
23/01/2020,2020,1,23,28.4,24.6,34,22.1,33.3
24/01/2020,2020,1,24,27,25,30,22.1,27.8
25/01/2020,2020,1,25,26.1,24.9,28.4,16,55.5
26/01/2020,2020,1,26,26,24.8,29,16,38.9
27/01/2020,2020,1,27,25.1,23.8,27,3,33.3
28/01/2020,2020,1,28,24.6,20.2,28.4,0,25.9
29/01/2020,2020,1,29,25.1,19.9,29,0.3,25.9
30/01/2020,2020,1,30,26.2,22,29.8,2,27.8
31/01/2020,2020,1,31,26.2,22.6,29.5,11.9,29.6
