Date,Year,Month,Day,Mean Temp (°C),Min Temp (°C),Max Temp (°C),Total Precip (mm),Spd of Max Gust (km/h)
01/01/2020,2020,1,1,25.1,21.8,28.5,20.1,0
01/02/2020,2020,1,2,24.2,21.4,27.2,1,0
01/03/2020,2020,1,3,24.1,22.3,26.4,1,0
01/04/2020,2020,1,4,24.7,22.5,28.3,3,0
01/05/2020,2020,1,5,23.4,21.2,27.9,18,0
01/06/2020,2020,1,6,24.9,20.9,28.9,87.9,0
01/07/2020,2020,1,7,25.7,22.8,29,34,0
01/08/2020,2020,1,8,25,21.85,28.9,4.1,0
01/09/2020,2020,1,9,24.5,21.8,28.8,2,0
01/10/2020,2020,1,10,23.6,19.2,27.8,0,0
01/11/2020,2020,1,11,24.1,19.3,28.7,0,0
01/12/2020,2020,1,12,24.7,22.3,29.6,2,0
13/01/2020,2020,1,13,25.2,21.9,29.4,2,0
14/01/2020,2020,1,14,26.3,23.4,30.3,0,0
15/01/2020,2020,1,15,24.8,23.5,28.5,1,0
16/01/2020,2020,1,16,24.4,23.3,27.1,20.1,0
17/01/2020,2020,1,17,24.9,22.6,28.5,7.9,0
18/01/2020,2020,1,18,25.6,22.6,29.3,0,0
19/01/2020,2020,1,19,25.7,23.4,29.1,0,0
20/01/2020,2020,1,20,26.1,23.8,29.8,1,0
21/01/2020,2020,1,21,23.9,23.6,26.4,0,0
22/01/2020,2020,1,22,23.4,22.7,24.5,55.1,0
23/01/2020,2020,1,23,25.4,23,29.4,22.1,0
24/01/2020,2020,1,24,24,22.5,25.9,17,0
25/01/2020,2020,1,25,24.2,22.75,26.8,30,0
26/01/2020,2020,1,26,23.5,21.2,26.5,0.8,0
27/01/2020,2020,1,27,22.6,20.7,26,4.1,0
28/01/2020,2020,1,28,21.9,18.2,25.1,0,0
29/01/2020,2020,1,29,22.2,18.1,26.4,0.5,0
30/01/2020,2020,1,30,23.8,20.2,28.4,0.5,0
31/01/2020,2020,1,31,23.2,20.4,27.2,10.9,0
02/01/2020,2020,2,1,24.4,22,27.6,3,0
02/02/2020,2020,2,2,24.6,22.1,28.2,0,0
02/03/2020,2020,2,3,24.5,22.3,27.8,20.1,0
02/04/2020,2020,2,4,23.7,22.3,26.4,3,0
02/05/2020,2020,2,5,24.1,22.3,28.2,40.9,0
02/06/2020,2020,2,6,24.2,22.5,27.9,17,0
02/07/2020,2020,2,7,23.9,21.4,28.3,0,0
02/08/2020,2020,2,8,24.1,21.5,28.4,0.5,0
02/09/2020,2020,2,9,23.9,20.5,27.8,2,0
02/10/2020,2020,2,10,23.1,21.3,26.4,3,0
02/11/2020,2020,2,11,24.2,22.4,26.6,30,0
02/12/2020,2020,2,12,24.7,21.85,28.5,35.1,0
13/02/2020,2020,2,13,25.2,22.6,29.1,0,0
14/02/2020,2020,2,14,25.7,22,30.5,0,0
15/02/2020,2020,2,15,24.6,23.1,28.3,17,0
16/02/2020,2020,2,16,24.2,21.6,28.4,1,0
17/02/2020,2020,2,17,23.7,20.4,28.2,0,0
18/02/2020,2020,2,18,24.2,21.5,28.1,4.1,0
19/02/2020,2020,2,19,23.9,21.6,27.6,1,0
20/02/2020,2020,2,20,23.7,20.4,27.8,5.1,0
21/02/2020,2020,2,21,23.9,21.1,27.9,1,0
22/02/2020,2020,2,22,24.1,20.5,28.3,1,0
23/02/2020,2020,2,23,24.3,21.9,28.1,1,0
24/02/2020,2020,2,24,24.8,19.5,29.4,0,0
25/02/2020,2020,2,25,25.6,21.8,29.2,0,0
26/02/2020,2020,2,26,23.7,21.9,27.3,42.9,0
27/02/2020,2020,2,27,23.7,21.85,25.8,7.1,0
28/02/2020,2020,2,28,23.8,21.9,27.2,8.9,0
29/02/2020,2020,2,29,24.9,21.8,29.6,14,0
03/01/2020,2020,3,1,25.4,22.7,28.9,2,0
03/02/2020,2020,3,2,24.7,23,27.3,2,0
03/03/2020,2020,3,3,25.3,23.8,29.8,8.9,0
03/04/2020,2020,3,4,25.1,22.1,28.9,2,0
03/05/2020,2020,3,5,25.200000000000003,22.950000000000003,29.35,5.45,0
03/06/2020,2020,3,6,25.2,22.1,28.4,3,0
03/07/2020,2020,3,7,24.2,19.4,28,6.1,0
03/08/2020,2020,3,8,23.6,19.4,28,73.9,0
03/09/2020,2020,3,9,23.4,21.7,26.1,7.9,0
03/10/2020,2020,3,10,23.5,21.7,27.05,40.900000000000006,0
03/11/2020,2020,3,11,25.4,21.7,30.1,15,0
03/12/2020,2020,3,12,25.4,19.4,30.1,15,0
13/03/2020,2020,3,13,22.6,19.4,24.9,57.9,0
14/03/2020,2020,3,14,23.7,19.4,27.6,57.9,0
15/03/2020,2020,3,15,23.15,19.4,26.25,57.9,0
16/03/2020,2020,3,16,23.7,19.4,27.6,1.3,0
17/03/2020,2020,3,17,22,19.4,25.3,1.3,0
18/03/2020,2020,3,18,24.1,19.4,28.8,0.3,0
19/03/2020,2020,3,19,24.1,19.4,28.8,0.3,0
20/03/2020,2020,3,20,24.1,19.4,28.8,0.3,0
21/03/2020,2020,3,21,22.4,17.1,27.3,0,0
22/03/2020,2020,3,22,22.9,20.5,26.6,0.5,0
23/03/2020,2020,3,23,24.2,22.5,27.2,7.1,0
24/03/2020,2020,3,24,23.2,21.5,25.6,61,0
25/03/2020,2020,3,25,24.7,22.4,28.1,1,0
26/03/2020,2020,3,26,23.95,22.4,26.850000000000005,31,0
27/03/2020,2020,3,27,24.7,22.4,28.1,1,0
28/03/2020,2020,3,28,22,19.4,25.3,1.3,0
29/03/2020,2020,3,29,22,19.4,25.3,1.3,0
30/03/2020,2020,3,30,22,19.4,25.3,1.3,0
31/03/2020,2020,3,31,22,19.4,25.3,1.3,0
04/01/2020,2020,4,1,22,19.4,25.3,1.3,0
04/02/2020,2020,4,2,22,19.4,25.3,1.3,0
04/03/2020,2020,4,3,22,19.4,25.3,1.3,0
04/04/2020,2020,4,4,22,19.4,25.3,1.3,0
04/05/2020,2020,4,5,22,19.4,25.3,1.3,0
04/06/2020,2020,4,6,22,19.4,25.3,1.3,0
04/07/2020,2020,4,7,22,19.4,25.3,1.3,0
04/08/2020,2020,4,8,22,19.4,25.3,1.3,0
04/09/2020,2020,4,9,22,19.4,25.3,1.3,0
04/10/2020,2020,4,10,22,19.4,25.3,1.3,0
04/11/2020,2020,4,11,22,19.4,25.3,1.3,0
04/12/2020,2020,4,12,22,19.4,25.3,1.3,0
13/04/2020,2020,4,13,22,19.4,25.3,1.3,0
14/04/2020,2020,4,14,22,19.4,25.3,1.3,0
15/04/2020,2020,4,15,22,19.4,25.3,1.3,0
16/04/2020,2020,4,16,22,19.4,25.3,1.3,0
17/04/2020,2020,4,17,22,19.4,25.3,1.3,0
18/04/2020,2020,4,18,22,19.4,25.3,1.3,0
19/04/2020,2020,4,19,22,19.4,25.3,1.3,0
20/04/2020,2020,4,20,22,19.4,25.3,1.3,0
21/04/2020,2020,4,21,22,19.4,25.3,1.3,0
22/04/2020,2020,4,22,22,19.4,25.3,1.3,0
23/04/2020,2020,4,23,23.3,19.4,27.5,0,0
24/04/2020,2020,4,24,22.3,19.4,25.1,0.8,0
25/04/2020,2020,4,25,23.1,21.1,26.8,1,0
26/04/2020,2020,4,26,22.700000000000003,21.1,25.950000000000003,0.9,0
27/04/2020,2020,4,27,23.1,21.1,26.8,1,0
28/04/2020,2020,4,28,22,19.4,25.3,1.3,0
29/04/2020,2020,4,29,22,19.4,25.3,1.3,0
30/04/2020,2020,4,30,22,19.4,25.3,1.3,0
05/01/2020,2020,5,1,22,19.4,25.3,1.3,0
05/02/2020,2020,5,2,22,19.4,25.3,1.3,0
05/03/2020,2020,5,3,22,19.4,25.3,1.3,0
05/04/2020,2020,5,4,22,19.4,25.3,1.3,0
05/05/2020,2020,5,5,22,19.4,25.3,1.3,0
05/06/2020,2020,5,6,22,19.4,25.3,1.3,0
05/07/2020,2020,5,7,22,19.4,25.3,1.3,0
05/08/2020,2020,5,8,22,19.4,25.3,1.3,0
05/09/2020,2020,5,9,22,19.4,25.3,1.3,0
05/10/2020,2020,5,10,22,19.4,25.3,1.3,0
05/11/2020,2020,5,11,22,19.4,25.3,1.3,0
05/12/2020,2020,5,12,22,19.4,25.3,1.3,0
13/05/2020,2020,5,13,22,19.4,25.3,1.3,0
14/05/2020,2020,5,14,22,19.4,25.3,1.3,0
15/05/2020,2020,5,15,22,19.4,25.3,1.3,0
16/05/2020,2020,5,16,21.8,19.4,27.4,0,0
17/05/2020,2020,5,17,21.8,19.4,27.4,0,0
18/05/2020,2020,5,18,21.8,19.4,27.4,0,0
19/05/2020,2020,5,19,22,19.4,25.3,1.3,0
20/05/2020,2020,5,20,22,19.4,25.3,1.3,0
21/05/2020,2020,5,21,22,19.4,25.3,1.3,0
22/05/2020,2020,5,22,22,19.4,25.3,1.3,0
23/05/2020,2020,5,23,22,19.4,25.3,1.3,0
24/05/2020,2020,5,24,22,19.4,25.3,1.3,0
25/05/2020,2020,5,25,19.7,19.4,23.6,1,0
26/05/2020,2020,5,26,19.7,19.4,23.6,1,0
27/05/2020,2020,5,27,19.7,19.4,23.6,1,0
28/05/2020,2020,5,28,22,19.4,25.3,1.3,0
29/05/2020,2020,5,29,22,19.4,25.3,1.3,0
30/05/2020,2020,5,30,22,19.4,25.3,1.3,0
31/05/2020,2020,5,31,22,19.4,25.3,1.3,0
06/01/2020,2020,6,1,22,19.4,25.3,1.3,0
06/02/2020,2020,6,2,22,19.4,25.3,1.3,0
06/03/2020,2020,6,3,22,19.4,25.3,1.3,0
06/04/2020,2020,6,4,22,19.4,25.3,1.3,0
06/05/2020,2020,6,5,22,19.4,25.3,1.3,0
06/06/2020,2020,6,6,22,19.4,25.3,1.3,0
06/07/2020,2020,6,7,22,19.4,25.3,1.3,0
06/08/2020,2020,6,8,22,19.4,25.3,1.3,0
06/09/2020,2020,6,9,22,19.4,25.3,1.3,0
06/10/2020,2020,6,10,22,19.4,25.3,1.3,0
06/11/2020,2020,6,11,22,19.4,25.3,1.3,0
06/12/2020,2020,6,12,22,19.4,25.3,1.3,0
13/06/2020,2020,6,13,22,19.4,25.3,1.3,0
14/06/2020,2020,6,14,22,19.4,25.3,1.3,0
15/06/2020,2020,6,15,22,19.4,25.3,1.3,0
16/06/2020,2020,6,16,22,19.4,25.3,1.3,0
17/06/2020,2020,6,17,22,19.4,25.3,1.3,0
18/06/2020,2020,6,18,22,19.4,25.3,1.3,0
19/06/2020,2020,6,19,22,19.4,25.3,1.3,0
20/06/2020,2020,6,20,22,19.4,25.3,1.3,0
21/06/2020,2020,6,21,22,19.4,25.3,1.3,0
22/06/2020,2020,6,22,22,19.4,25.3,1.3,0
23/06/2020,2020,6,23,22,19.4,25.3,1.3,0
24/06/2020,2020,6,24,22,19.4,25.3,1.3,0
25/06/2020,2020,6,25,22,19.4,25.3,1.3,0
26/06/2020,2020,6,26,22,19.4,25.3,1.3,0
27/06/2020,2020,6,27,22,19.4,25.3,1.3,0
28/06/2020,2020,6,28,22,19.4,25.3,1.3,0
29/06/2020,2020,6,29,22,19.4,25.3,1.3,0
30/06/2020,2020,6,30,22,19.4,25.3,1.3,0
07/01/2020,2020,7,1,22,19.4,25.3,1.3,0
07/02/2020,2020,7,2,22,19.4,25.3,1.3,0
07/03/2020,2020,7,3,22,19.4,25.3,1.3,0
07/04/2020,2020,7,4,22,19.4,25.3,1.3,0
07/05/2020,2020,7,5,22,19.4,25.3,1.3,0
07/06/2020,2020,7,6,22,19.4,25.3,1.3,0
07/07/2020,2020,7,7,22,19.4,25.3,1.3,0
07/08/2020,2020,7,8,22,19.4,25.3,1.3,0
07/09/2020,2020,7,9,22,19.4,25.3,1.3,0
07/10/2020,2020,7,10,22,19.4,25.3,1.3,0
07/11/2020,2020,7,11,22,19.4,25.3,1.3,0
07/12/2020,2020,7,12,22,19.4,25.3,1.3,0
13/07/2020,2020,7,13,22,19.4,25.3,1.3,0
14/07/2020,2020,7,14,22,19.4,25.3,1.3,0
15/07/2020,2020,7,15,22,19.4,25.3,1.3,0
16/07/2020,2020,7,16,22,19.4,25.3,1.3,0
17/07/2020,2020,7,17,22,19.4,25.3,1.3,0
18/07/2020,2020,7,18,22,19.4,25.3,1.3,0
19/07/2020,2020,7,19,22,19.4,25.3,1.3,0
20/07/2020,2020,7,20,22,19.4,25.3,1.3,0
21/07/2020,2020,7,21,22,19.4,25.3,1.3,0
22/07/2020,2020,7,22,22,19.4,25.3,1.3,0
23/07/2020,2020,7,23,22,19.4,25.3,1.3,0
24/07/2020,2020,7,24,22,19.4,25.3,1.3,0
25/07/2020,2020,7,25,22,19.4,25.3,1.3,0
26/07/2020,2020,7,26,22,19.4,25.3,1.3,0
27/07/2020,2020,7,27,22,19.4,25.3,1.3,0
28/07/2020,2020,7,28,22,19.4,25.3,1.3,0
29/07/2020,2020,7,29,22,19.4,25.3,1.3,0
30/07/2020,2020,7,30,22,19.4,25.3,1.3,0
31/07/2020,2020,7,31,22,19.4,25.3,1.3,0
08/01/2020,2020,8,1,22,19.4,25.3,1.3,0
08/02/2020,2020,8,2,22,19.4,25.3,1.3,0
08/03/2020,2020,8,3,22,19.4,25.3,1.3,0
08/04/2020,2020,8,4,22,19.4,25.3,1.3,0
08/05/2020,2020,8,5,22,19.4,25.3,1.3,0
08/06/2020,2020,8,6,22,19.4,25.3,1.3,0
08/07/2020,2020,8,7,22,19.4,25.3,1.3,0
08/08/2020,2020,8,8,22,19.4,25.3,1.3,0
08/09/2020,2020,8,9,22,19.4,25.3,1.3,0
08/10/2020,2020,8,10,22,19.4,25.3,1.3,0
08/11/2020,2020,8,11,22,19.4,25.3,1.3,0
08/12/2020,2020,8,12,22,19.4,25.3,1.3,0
13/08/2020,2020,8,13,22,19.4,25.3,1.3,0
14/08/2020,2020,8,14,22,19.4,25.3,1.3,0
15/08/2020,2020,8,15,22,19.4,25.3,1.3,0
16/08/2020,2020,8,16,22,19.4,25.3,1.3,0
17/08/2020,2020,8,17,22,19.4,25.3,1.3,0
18/08/2020,2020,8,18,22,19.4,25.3,1.3,0
